orgnr,company_id,company_name,company_type,homepage,email,phone,address,segment_names,nace_codes,foundation_year,employees_latest,accounts_last_year,created_at,updated_at
5569771651,5569771651,Özpa Gruppen AB,AB,,,,"{""addressLine"": null, ""postPlace"": null, ""postCode"": null, ""city"": null, ""county"": ""Stockholm"", ""country"": ""Sweden""}","[""Transportförmedling"",""Åkerier""]","[""49410 Vägtransport, godstrafik""]",2014,26,,2025-11-07T09:37:21.317569,2025-11-07T09:37:21.317575
5563971273,5563971273,Övägen Lantbruks Aktiebolag,AB,,,,"{""addressLine"": ""Övägen 14"", ""postPlace"": ""Sölvesborg"", ""postCode"": null, ""city"": ""Sölvesborg"", ""county"": null, ""country"": ""Sweden""}","[""Jordbruk"",""Jordbruk - odling""]","[""01250 Odling av andra frukter och bär samt nötter""]",1990,7,,2025-11-07T09:37:21.317579,2025-11-07T09:37:21.317580
5567332886,5567332886,Övik Marina & Motor AB,AB,,,,"{""addressLine"": ""Marinvägen 12"", ""postPlace"": ""Bonässund"", ""postCode"": null, ""city"": ""Bonässund"", ""county"": null, ""country"": ""Sweden""}","[""Bilar"",""Bilreparationer""]","[""45110 Handel med personbilar och lätta motorfordon"",""45201 Allmän service och reparation av motorfordon utom motorcyklar""]",2007,11,,2025-11-07T09:37:21.317585,2025-11-07T09:37:21.317586
5561761775,5561761775,Östra Göinge Renhållningsaktiebolag,AB,,,,"{""addressLine"": ""Kattarp 2373 c"", ""postPlace"": ""Broby"", ""postCode"": null, ""city"": ""Broby"", ""county"": null, ""country"": ""Sweden""}","[""Renhållningsentreprenörer, avfallshantering"",""Avfallshantering""]","[""38210 Behandling och bortskaffande av icke-farligt avfall"",""38110 Insamling av icke-farligt avfall"",""38320 Återvinning av källsorterat material""]",1973,9,,2025-11-07T09:37:21.317594,2025-11-07T09:37:21.317594
5567428858,5567428858,Östorps Bevattning AB,AB,,,,"{""addressLine"": ""Östorp 249"", ""postPlace"": ""Laholm"", ""postCode"": null, ""city"": ""Laholm"", ""county"": null, ""country"": ""Sweden""}","[""Konsulter"",""Teknikkonsulter"",""Producenter"",""Verktyg och redskap"",""Verktyg och redskap - tillverkning""]","[""71129 Övrig teknisk konsultverksamhet"",""25730 Tillverkning av verktyg och redskap""]",2007,10,,2025-11-07T09:37:21.317596,2025-11-07T09:37:21.317596
5568992761,5568992761,Östlunds Mark och Sten AB,AB,,,,"{""addressLine"": ""Kabelvägen 9"", ""postPlace"": ""Östersund"", ""postCode"": null, ""city"": ""Östersund"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Fastighetsbolag, lokaler"",""Städservice"",""Väganordningar, trafikanordningar, vägarbeten"",""Entreprenörer""]","[""42110 Anläggning av vägar och motorvägar"",""43120 Mark- och grundarbeten"",""81290 Annan rengöring"",""42990 Övriga anläggningsarbeten"",""68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler""]",2012,30,,2025-11-07T09:37:21.317597,2025-11-07T09:37:21.317598
5566453998,5566453998,Östlund Entreprenad i Mellansverige AB,AB,,,,"{""addressLine"": ""Rådhusgatan 3"", ""postPlace"": ""Östhammar"", ""postCode"": null, ""city"": ""Östhammar"", ""county"": null, ""country"": ""Sweden""}","[""Uthyrning""]","[""77320 Uthyrning och leasing av bygg- och anläggningsmaskiner""]",2003,30,,2025-11-07T09:37:21.317599,2025-11-07T09:37:21.317600
5568757388,5568757388,Östkustens Byggteknik AB,AB,,,,"{""addressLine"": ""Durkgatan 9"", ""postPlace"": ""Trosa"", ""postCode"": null, ""city"": ""Trosa"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Snickeriarbeten"",""Uthyrning"",""Entreprenörer""]","[""43320 Byggnadssnickeriarbeten"",""43120 Mark- och grundarbeten"",""77320 Uthyrning och leasing av bygg- och anläggningsmaskiner"",""77390 Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar""]",2011,16,,2025-11-07T09:37:21.317601,2025-11-07T09:37:21.317602
5565823829,5565823829,Östervallskogs Allteknik AB,AB,,,,"{""addressLine"": ""Såguddsvägen 3"", ""postPlace"": ""Töcksfors"", ""postCode"": null, ""city"": ""Töcksfors"", ""county"": null, ""country"": ""Sweden""}","[""Byggmästare"",""Entreprenörer""]","[""43120 Mark- och grundarbeten""]",1999,30,,2025-11-07T09:37:21.317603,2025-11-07T09:37:21.317603
5564063054,5564063054,Österlens Kraft Elnät AB,AB,,,,"{""addressLine"": ""Testgatan 3"", ""postPlace"": ""Simrishamn"", ""postCode"": null, ""city"": ""Simrishamn"", ""county"": null, ""country"": ""Sweden""}","[""Energiförsörjning""]","[""35130 Distribution av elektricitet""]",1990,2,,2025-11-07T09:37:21.317610,2025-11-07T09:37:21.317610
