orgnr,latest_year,latest_revenue_sek,latest_profit_sek,latest_ebitda_sek,revenue_cagr_3y,revenue_cagr_5y,avg_ebitda_margin,avg_net_margin,equity_ratio_latest,debt_to_equity_latest,revenue_per_employee,ebitda_per_employee,digital_presence,company_size_bucket,growth_bucket,profitability_bucket,calculated_at,source_job_id
5560001421,2024,72000.0,1348000.0,-265000.0,0.2599210498948732,,-3.4577561327561326,3.2008297258297262,0.43478260869565216,1.3,4235.2941176470595,-15588.235294117647,0,medium,high,high,2025-11-07T09:37:21.205833,151e5a04-14f6-48db-843e-9dad22f371d0
5560008020,2024,120009.0,571839.0,-39006.0,-0.008242170570755603,,0.18820725760943305,1.6441320279235228,0.5293715846994536,0.8890322580645161,3750.28125,-1218.9375,0,medium,declining,high,2025-11-07T09:37:21.280781,af674a42-4859-4e15-a641-9da834ddbb09
5560013251,2024,122565.0,328997.0,-51613.0,0.7928890418920709,,-1.476091599140751,9.612418599142895,,,2918.214285714286,-1228.8809523809525,0,medium,high,high,2025-11-07T09:37:21.294958,af674a42-4859-4e15-a641-9da834ddbb09
5560015272,2024,57823.0,47507.0,-1338.0,0.06351881515989932,,0.17974429366358585,0.7834624238830886,1.0,0.0,,,0,medium,moderate,high,2025-11-07T09:37:21.219029,151e5a04-14f6-48db-843e-9dad22f371d0
5560016122,2024,174000.0,59000.0,-58000.0,0.07008998942569566,,-0.4658133881803629,1.8369797658801823,0.0,,6960.0,-2320.0,0,large,moderate,high,2025-11-07T09:37:21.300057,af674a42-4859-4e15-a641-9da834ddbb09
5560022617,2024,188537.0,1485.0,5112.0,0.09754834340436225,,0.006470332989221325,0.043566167345535006,0.23501762632197415,3.255,2582.698630136986,70.02739726027397,0,large,moderate,low,2025-11-07T09:37:21.269234,af674a42-4859-4e15-a641-9da834ddbb09
5560023136,2024,162446.0,1143.0,37699.0,0.10310003589480643,,0.19818008176846846,-0.002983576972521309,0.7457673930455436,0.34090067402414637,1933.8809523809525,448.79761904761904,0,large,moderate,loss-making,2025-11-07T09:37:21.295837,af674a42-4859-4e15-a641-9da834ddbb09
5560025990,2024,69220.0,52109.0,67944.0,-0.01281109528679325,,0.9867775585430753,0.6616643298865699,0.9984939759036144,0.0015082956259426848,,,0,medium,declining,high,2025-11-07T09:37:21.264491,151e5a04-14f6-48db-843e-9dad22f371d0
5560028796,2024,63722.0,235293.0,-4124.0,,,-0.11523304172016531,7.253358208319117,,,,,0,medium,,high,2025-11-07T09:37:21.176772,151e5a04-14f6-48db-843e-9dad22f371d0
5560037482,2024,132315.0,-47.0,-85288.0,0.13645173246491993,,-1.0003935876105305,-0.0031839566389720193,0.9962942629700796,0.0037195205951232953,882.1,-568.5866666666666,0,medium,moderate,loss-making,2025-11-07T09:37:21.293457,af674a42-4859-4e15-a641-9da834ddbb09
5560043332,2024,55873.0,15.0,19565.0,0.06265730124039282,,0.2969644506453849,0.00018073435100519683,0.9093847863420548,0.09964452343923573,,,0,medium,moderate,low,2025-11-07T09:37:21.176689,151e5a04-14f6-48db-843e-9dad22f371d0
5560069816,2024,135950.0,864.0,16871.0,0.0699540332499402,,0.1426242954159809,0.031866611983320914,0.9940883273443839,0.005946828358208955,2471.8181818181815,306.74545454545455,0,medium,moderate,low,2025-11-07T09:37:21.298858,af674a42-4859-4e15-a641-9da834ddbb09
5560070756,2024,81448.0,5982.0,7785.0,0.12003270064367233,,0.06094490168930635,0.03292885368465055,0.8684834123222749,0.15143246930422918,2808.551724137931,268.448275862069,0,medium,moderate,low,2025-11-07T09:37:21.177857,151e5a04-14f6-48db-843e-9dad22f371d0
5560072778,2024,51761.0,70.0,-9597.0,-0.09201091949085671,,0.05929118962353547,0.09278858011832898,0.0,,3981.6153846153843,-738.2307692307693,0,medium,declining,healthy,2025-11-07T09:37:21.263587,151e5a04-14f6-48db-843e-9dad22f371d0
5560081621,2024,57000.0,40000.0,-60000.0,0.08198385552319754,,-0.8911827887762218,2.884513976071678,,,8142.857142857143,-8571.42857142857,0,medium,moderate,high,2025-11-07T09:37:21.245126,151e5a04-14f6-48db-843e-9dad22f371d0
5560082231,2024,132707.0,4824.0,22655.0,0.06541512933669935,,0.1929616236072661,0.07457910627554101,0.9996673873274572,0.00033272334054233906,3492.2894736842104,596.1842105263158,0,medium,moderate,healthy,2025-11-07T09:37:21.275860,af674a42-4859-4e15-a641-9da834ddbb09
